,word,lemma
893,бродот,брод
894,брод,брод
895,бројните,броен
896,бројни,броен
897,брои,брои
898,брошови,брош
899,брошури,брошура
900,број,број
901,броеви,број
902,бројот,број
903,бројките,бројка
904,бројки,бројка
905,бројката,бројка
906,бројност,бројност
907,бројчаникот,бројчаник
908,бројчаник,бројчаник
909,бројчаниците,бројчаник
910,Бројчаникот,бројчаник
911,бројчаници,бројчаник
912,брутално,брутален
913,брутални,брутален
914,брцкаше,брцка
915,брцна,брцне
916,брчење,брчење
917,брчењето,брчење
918,брчки,брчка
919,брчките,брчка
920,бубалките,бубалка
921,бубалки,бубалка
922,бубалка,бубалка
923,бувна,бувне
924,будала,будала
925,будали,будала
926,будалест,будалест
927,будното,буден
928,будно,буден
929,буден,буден
930,будна,буден
931,будејќи,будејќи
932,будење,будење
933,будењето,будење
934,будеа,буди
935,будеше,буди
936,будност,будност
937,бујни,буен
938,бузи,буза
939,букви,буква
940,буквално,буквален
941,буквално,буквално
942,буквар,буквар
943,букет,букет
944,булевари,булевар
945,булеварски,булеварски
946,бунар,бунар
947,бунеше,буни
948,бунт,бунт
949,бунтовите,бунт
950,бунтовник,бунтовник
951,Бунтовништво,бунтовништво
952,бунтовност,бунтовност
953,бунтуваат,бунтува
954,бунтуваш,бунтува
955,буржоазијата,буржоазија
956,бурија,бурија
957,бурмут,бурмут
958,бурмутчиња,бурмутче
959,бутовите,бут
960,бутните,бутен
961,бутината,бутина
962,бутините,бутина
963,бутни,бутне
964,бутнаа,бутне
965,бучава,бучава
966,бучна,бучен
967,бучно,бучен
968,бушави,бушав
969,в,в
970,В,в
971,Вагонот,вагон
972,вадел,вади
973,вадеа,вади
974,поважно,важен
975,важна,важен
976,поважна,важен
977,најважното,важен
978,Најважно,важен
979,важно,важен
980,Поважно,важен
981,најважната,важен
982,Важна,важен
983,важен,важен
984,најважна,важен
985,Важно,важен
986,важни,важен
987,најважниот,важен
988,важи,важи
989,важеа,важи
990,најважно,важно
991,важно,важно
992,важност,важност
993,Вака,вака
994,вака,вака
995,ваквото,ваков
996,ваква,ваков
997,ваквиот,ваков
998,вакви,ваков
999,вакво,ваков
1000,ваквите,ваков
1001,ваков,ваков
1002,валкано,валкан
1003,валкани,валкан
1004,валкана,валкан
1005,Валкана,валкан
1006,валканиците,валканица
1007,ваму,ваму
1008,вар,вар
1009,варварска,варварски
1010,варварства,варварство
1011,варена,варен
1012,варењето,варење
1013,варираа,варира
1014,варијанта,варијанта
1015,варијации,варијација
1016,варовник,варовник
